35108:
 num     #instances         #bytes  class name (module)
 247:           296           7104  org.apache.ibatis.reflection.invoker.MethodInvoker
 248:           295           7080  java.util.zip.Inflater$InflaterZStreamRef (java.base@25)
 249:           147           7056  java.util.TreeMap (java.base@25)
 250:           291           6984  java.security.Provider$UString (java.base@25)
 251:           288           6912  com.fasterxml.jackson.databind.introspect.MemberKey
 252:           245           6888  [Lio.micrometer.core.instrument.Tag;
 253:           284           6816  javax.management.ImmutableDescriptor (java.management@25)
 254:           170           6800  java.util.ResourceBundle$BundleReference (java.base@25)
 255:            77           6776  com.fasterxml.jackson.databind.ser.BeanPropertyWriter
 256:           233           6768  [Ljavax.management.ObjectName$Property; (java.management@25)
 257:            68           6592  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@25)
 258:           273           6552  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue
 259:           204           6528  org.HdrHistogram.ConcurrentHistogram$AtomicLongArrayWithNormalizingOffset
 260:            53           6360  io.netty.util.concurrent.FastThreadLocalThread
 261:           112           6272  com.mysql.cj.conf.BooleanPropertyDefinition
 262:           195           6240  com.mysql.cj.conf.StringProperty
 263:           258           6200  [Ljava.lang.reflect.TypeVariable; (java.base@25)
 264:             2           6176  [Lio.netty.util.HashedWheelTimer$HashedWheelBucket;
 265:           153           6120  org.HdrHistogram.WriterReaderPhaser
 266:           226           6072  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 267:           189           6048  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@25)
 268:           151           6040  java.lang.reflect.Parameter (java.base@25)
 269:           251           6024  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@25)
 270:           107           5992  java.util.logging.Logger (java.logging@25)
 271:            34           5984  org.HdrHistogram.Histogram
 272:            39           5928  io.netty.channel.nio.NioEventLoop
 273:           245           5880  io.micrometer.core.instrument.Tags
 274:           147           5880  java.util.IdentityHashMap (java.base@25)
 275:            81           5832  org.springframework.core.annotation.AnnotatedMethod$AnnotatedMethodParameter
 276:           182           5824  java.util.logging.LogManager$LogNode (java.logging@25)
 277:           102           5712  org.HdrHistogram.DoubleRecorder$InternalConcurrentDoubleHistogram
 278:           351           5616  org.redisson.client.protocol.convertor.EmptyConvertor
 279:            50           5600  org.apache.coyote.Response
 280:           139           5560  java.io.FileDescriptor (java.base@25)
 281:           115           5520  com.fasterxml.jackson.databind.type.SimpleType
 282:           218           5384  [Lcom.fasterxml.jackson.databind.JavaType;
 283:           134           5360  java.security.CodeSource (java.base@25)
 284:           334           5344  jdk.proxy2.$Proxy48 (jdk.proxy2)
 285:           333           5328  java.util.HashMap$EntrySet (java.base@25)
 286:            95           5320  org.springframework.transaction.interceptor.RuleBasedTransactionAttribute
 287:           330           5280  org.springframework.expression.common.LiteralExpression
 288:           219           5256  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@25)
 289:           217           5208  java.util.regex.Pattern$GroupTail (java.base@25)
 290:            50           5200  org.apache.coyote.http11.Http11Processor
 291:            59           5192  io.netty.buffer.PooledUnsafeDirectByteBuf
 292:           107           5136  org.apache.ibatis.ognl.ASTConst
 293:           213           5112  java.util.regex.Pattern$GroupHead (java.base@25)
 294:           210           5040  com.esotericsoftware.kryo.Kryo$DefaultSerializerEntry
