31420:
 num     #instances         #bytes  class name (module)
 346:           159           3816  org.springframework.boot.origin.TextResourceOrigin$Location
 347:            67           3752  com.mysql.cj.conf.StringPropertyDefinition
 348:           117           3744  javax.management.ObjectName (java.management@25)
 349:           153           3672  org.apache.ibatis.mapping.ParameterMap
 350:           153           3672  org.springframework.boot.autoconfigure.condition.OnClassCondition
 351:           152           3648  org.springframework.boot.loader.zip.ZipContent$Source
 352:           227           3632  java.lang.Character (java.base@25)
 353:           151           3624  java.util.jar.Manifest (java.base@25)
 354:           151           3624  jdk.internal.loader.URLClassPath$Loader (java.base@25)
 355:           151           3624  org.springframework.boot.loader.jar.ManifestInfo
 356:           151           3624  org.springframework.boot.loader.net.protocol.nested.NestedLocation
 357:            30           3600  io.netty.resolver.dns.DnsNameResolver
 358:            75           3600  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@25)
 359:            50           3600  org.apache.catalina.connector.InputBuffer
 360:            50           3600  org.apache.coyote.http11.filters.ChunkedInputFilter
 361:           150           3600  org.apache.tomcat.util.http.MimeHeaders
 362:            50           3600  org.apache.tomcat.util.http.Parameters
 363:           112           3584  com.fasterxml.jackson.databind.type.TypeBindings
 364:            56           3584  io.netty.channel.ChannelOutboundBuffer
 365:            56           3584  io.netty.channel.DefaultChannelPipeline$HeadContext
 366:            64           3584  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 367:           104           3512  [[C (java.base@25)
 368:           219           3504  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@25)
 369:           146           3504  java.util.concurrent.ConcurrentLinkedQueue (java.base@25)
 370:            54           3456  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@25)
 371:            85           3400  java.io.ObjectStreamField (java.base@25)
 372:            70           3360  org.springframework.beans.PropertyValue
 373:            52           3328  java.lang.Class$ReflectionData (java.base@25)
 374:            64           3320  [Ljavax.management.MBeanAttributeInfo; (java.management@25)
 375:           103           3296  java.net.InetAddress$InetAddressHolder (java.base@25)
 376:            27           3240  com.alibaba.fastjson2.writer.FieldWriterStringMethod
 377:           100           3200  [Lorg.apache.coyote.http11.InputFilter;
 378:           100           3200  [Lorg.apache.coyote.http11.OutputFilter;
 379:            40           3200  com.fasterxml.jackson.databind.deser.impl.MethodProperty
 380:            50           3200  org.apache.catalina.connector.OutputBuffer
 381:            50           3200  org.apache.catalina.connector.Response
 382:            99           3168  org.springframework.boot.context.properties.source.ConfigurationProperty
 383:            56           3136  io.netty.channel.DefaultChannelPipeline$TailContext
 384:            78           3120  com.alibaba.fastjson2.JSONWriter$Path
 385:            39           3120  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap
 386:            30           3120  io.netty.channel.socket.nio.NioDatagramChannel
 387:            96           3072  com.mysql.cj.conf.IntegerProperty
 388:           128           3072  io.netty.buffer.IntPriorityQueue
 389:           128           3072  java.security.Permissions (java.base@25)
 390:            64           3072  org.apache.ibatis.ognl.ASTProperty
 391:           128           3072  sun.reflect.generics.tree.Wildcard (java.base@25)
 392:           126           3024  [Lorg.apache.ibatis.ognl.Node;
 393:            63           3024  javax.management.MBeanInfo (java.management@25)
 394:            94           3008  org.springframework.util.MimeType
 395:           125           3000  com.baomidou.mybatisplus.core.toolkit.support.ColumnCache
 396:           124           2976  org.apache.ibatis.scripting.xmltags.DynamicSqlSource
 397:           185           2960  java.util.regex.Pattern$$Lambda/0x800000027 (java.base@25)
 398:           123           2952  java.lang.module.ModuleDescriptor$Provides (java.base@25)
 399:            92           2944  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x0000000012634400
 400:           111           2912  [Ljava.lang.reflect.Parameter; (java.base@25)
